mean_rank,feature,rank_shift,rank_att,rank_shift_in_modal,rank_att_in_modal,modality,importance_shift,importance_att,top_10_pct,mean_de,mean_re,std_de,std_re,pval,pval_adj,log_fc,group,pval_adj_log,mean_diff,pathway,module
1702.0,Cbr2,1672,1732,662,682,RNA,0.000156,7.6e-05,None,0.001832,0.013036,0.016438,0.083749,1.7991752742790941e-06,2.4e-05,2.839341,reprogramming,4.622523,-0.011204,,
1702.0,Moxd1,1713,1691,679,641,RNA,0.000119,8.8e-05,None,0.001944,0.009372,0.03152,0.080313,0.002988071364988156,0.01563,2.274933,reprogramming,1.806039,-0.007428,,
1702.5,Nrcam,1923,1482,886,519,RNA,0.0,0.000127,None,0.014348,0.003366,0.09384,0.043616,0.005800630109437787,0.026861,-2.09949,dead-end,1.570881,0.010982,,
1704.0,Mreg,1916,1492,926,523,RNA,0.0,0.000124,None,0.000132,0.004429,0.001064,0.055862,0.004133419779685315,0.020326,5.069343,reprogramming,1.691944,-0.004297,,
1707.5,Ackr4,1803,1612,878,579,RNA,0.0,0.000105,None,0.022962,0.005947,0.133272,0.083982,0.003653493857502304,0.018463,-1.96138,dead-end,1.733702,0.017015,,
1708.0,Cldn1,1632,1784,650,734,RNA,0.000198,6.2e-05,None,0.007932,0.018951,0.06472,0.122592,0.008716010630986532,0.037165,1.264401,reprogramming,1.429869,-0.011018,,
1708.5,D430036J16Rik,1838,1579,917,560,RNA,0.0,0.00011,None,0.022188,0.002532,0.118014,0.028058,5.280926504583983e-05,0.000484,-3.145849,dead-end,3.314938,0.019656,,
1715.0,Mef2c,1768,1662,717,615,RNA,4.7e-05,9.2e-05,None,0.042539,0.018462,0.159315,0.128632,0.0010120691034991051,0.006224,-1.221675,dead-end,2.205941,0.024077,,
1723.5,6330403L08Rik,1716,1731,681,681,RNA,0.000117,7.6e-05,None,0.010469,0.02857,0.058897,0.128598,1.5983016084364668e-05,0.000169,1.461536,reprogramming,3.772172,-0.018101,,
1725.0,Dram1,1767,1683,716,633,RNA,4.8e-05,8.9e-05,None,0.040984,0.017784,0.144278,0.091338,0.0002592030886383433,0.001955,-1.221321,dead-end,2.708885,0.0232,,
1726.5,Clstn2,1834,1619,792,583,RNA,0.0,0.000102,None,0.006867,0.016216,0.055884,0.093449,0.005592989436643057,0.026073,1.24641,reprogramming,1.583807,-0.009349,,
1731.5,AC133498.1,1641,1822,652,772,RNA,0.000187,5.4e-05,None,0.003273,0.010938,0.028225,0.0834,0.0022598213809943827,0.012374,1.746396,reprogramming,1.907482,-0.007666,,
1735.0,Them6,1626,1844,648,794,RNA,0.000204,4.8e-05,None,0.009118,0.021289,0.059163,0.092401,0.00041408148312602373,0.00292,1.232134,reprogramming,2.534616,-0.012171,,
1735.0,Pllp,1750,1720,703,670,RNA,6.8e-05,7.9e-05,None,0.001055,0.007943,0.013602,0.059056,4.0405078482569094e-05,0.000384,2.917192,reprogramming,3.415716,-0.006888,,
1737.5,Rnf165,1676,1799,665,749,RNA,0.000154,5.8e-05,None,0.014185,0.004611,0.079177,0.047082,0.0055049798584210574,0.025749,-1.628225,dead-end,1.589236,0.009574,,
